timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-11-21 12:18:00+09:00,94880,94915.08,94818.18,94870.49,54.23375,1.73E+12,5144596.237,7042,26.00087,2466603.573,0
2024-11-21 12:21:00+09:00,94870.5,94928,94864.03,94920,42.93281,1.73E+12,4073999.113,6779,20.82458,1976041.648,0
2024-11-21 12:24:00+09:00,94920.01,95350,94920,95333.1,994.03493,1.73E+12,94548339.98,48007,718.32386,68301499.12,0
2024-11-21 12:27:00+09:00,95333.1,95700,95240.01,95692,723.846755,1.73E+12,69129949.36,48581,480.026555,45846753.15,0
2024-11-21 12:30:00+09:00,95692,95692.01,95450.14,95584.01,292.75873,1.73E+12,27976314.71,32773,169.78693,16223893.89,0
2024-11-21 12:33:00+09:00,95584,95680,95537.14,95679.99,151.97922,1.73E+12,14535658.62,14323,108.21334,10350293.21,0
2024-11-21 12:36:00+09:00,95680,95895.93,95597.13,95644.02,472.01849,1.73E+12,45209661.01,33359,326.91829,31313964.9,0
2024-11-21 12:39:00+09:00,95644.01,95660,95500,95650.01,144.35684,1.73E+12,13795177.07,21846,81.81279,7817376.408,0
2024-11-21 12:42:00+09:00,95650.01,95814.45,95584,95598.51,152.81343,1.73E+12,14629448.79,15078,86.92522,8322230.091,0
2024-11-21 12:45:00+09:00,95598.51,95756,95596.32,95740,88.39073,1.73E+12,8456359.873,15249,56.43401,5398909.328,0
2024-11-21 12:48:00+09:00,95740,95799.98,95683.51,95769.74,123.43726,1.73E+12,11819412.63,12167,57.01159,5458915.021,0
2024-11-21 12:51:00+09:00,95769.75,95899.95,95744,95849.67,231.51007,1.73E+12,22187244.7,14211,147.77653,14162515.63,0
2024-11-21 12:54:00+09:00,95849.67,95904,95825.01,95881.01,152.96889,1.73E+12,14665343.34,9605,102.27709,9805539.931,0
2024-11-21 12:57:00+09:00,95881.01,95900,95768.43,95798.12,143.21379,1.73E+12,13723929.48,8645,40.0159,3834501.851,0
2024-11-21 13:00:00+09:00,95798.12,95909.09,95798.11,95900,136.50919,1.73E+12,13084670.96,17126,90.50362,8674817.173,0
2024-11-21 13:03:00+09:00,95900.01,96500,95888,96476,873.438848,1.73E+12,84054079.46,60999,542.895268,52223464.95,0
2024-11-21 13:06:00+09:00,96479.99,96593.06,96400,96432.01,600.93794,1.73E+12,57990732.54,38469,230.31812,22224923.62,0
2024-11-21 13:09:00+09:00,96432.02,96828.68,96432.01,96776.02,422.160258,1.73E+12,40821809.1,40433,292.579188,28292345.08,0
2024-11-21 13:12:00+09:00,96776.01,96980,96750,96940.8,404.93232,1.73E+12,39219571.79,34904,257.07678,24900599.04,0
2024-11-21 13:15:00+09:00,96940.8,96982,96531.05,96613.92,407.61046,1.73E+12,39403288.65,48390,187.67459,18137604.31,0
2024-11-21 13:18:00+09:00,96613.92,96723.23,96552,96620.11,147.29697,1.73E+12,14231383.98,26384,73.89181,7139253.315,0
2024-11-21 13:21:00+09:00,96620.11,96639.99,96488.09,96634.68,182.50874,1.73E+12,17617735.88,22759,61.58612,5945582.323,0
2024-11-21 13:24:00+09:00,96634.67,96646.64,96488.09,96511.99,141.29403,1.73E+12,13644482.52,21508,76.29369,7367727.347,0
2024-11-21 13:27:00+09:00,96512,96592,96456.51,96456.51,147.64404,1.73E+12,14248847.97,18540,62.29211,6011600.616,0
2024-11-21 13:30:00+09:00,96456.51,96456.51,96267.74,96364.01,222.16447,1.73E+12,21407235.61,33475,88.96219,8571914.832,0
2024-11-21 13:33:00+09:00,96364.02,96407.99,96231.27,96400,197.81868,1.73E+12,19047764.27,23086,66.91172,6443279.33,0
2024-11-21 13:36:00+09:00,96400,96487.99,96265.62,96487.98,162.87176,1.73E+12,15698052.18,21272,69.57325,6705275.985,0
2024-11-21 13:39:00+09:00,96487.99,96763.63,96487.98,96751.6,154.52099,1.73E+12,14931262.55,24683,90.80808,8773986.998,0
2024-11-21 13:42:00+09:00,96751.6,96772,96700,96700.01,92.41427,1.73E+12,8939355.214,18169,47.6058,4604732.694,0
2024-11-21 13:45:00+09:00,96700.01,96766.97,96543.08,96659.67,145.16673,1.73E+12,14030527.64,22692,58.53238,5656617.211,0
2024-11-21 13:48:00+09:00,96659.67,96855.3,96659.67,96852,179.92573,1.73E+12,17413913.7,25540,116.86742,11310977.59,0
